Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Images
239800,A-Class A35 AMG 4MATIC Premium,Mercedes-Benz,21660,06-May-2021,Sports,2730,https://i.i-sgcm.com/cars_used/202106/1008459_small.jpg
50000,Lancer 1.6A (COE till 08/2029),Mitsubishi,6230,17-Aug-2009,Sedan,128200,https://i.i-sgcm.com/cars_used/202108/1021355_small.jpg
77800,308 1.6M GTI Turbo Glass Roof (New 10-yr COE),Peugeot,7780,30-Mar-2012,Sports,93300,https://i.i-sgcm.com/cars_used/202108/1021349_small.jpg
122000,B-Class B200,Mercedes-Benz,15630,21-Mar-2018,Hatchback,3000,https://i.i-sgcm.com/cars_used/202107/1015803_small.jpg
103000,Harrier 2.0A Turbo M,Toyota,13460,13-Dec-2017,SUV,66000,https://i.i-sgcm.com/cars_used/202107/1010493_small.jpg
78800,Fit 1.3A,Honda,7870,16-Apr-2021,Hatchback,79,https://i.i-sgcm.com/cars_used/202104/987142_small.jpg
35800,CLA-Class CLA180 Sport,Mercedes-Benz,22520,30-Dec-2016,Luxury,62828,https://i.i-sgcm.com/cars_used/202106/1008302_small.jpg
43000,S60 Diesel D4,Volvo,11400,24-Jan-2017,Luxury,69000,https://i.i-sgcm.com/cars_used/202108/1021344_small.jpg
72800,Space Star 1.2A,Mitsubishi,7920,28-Jul-2017,Hatchback,65450,https://i.i-sgcm.com/cars_used/202107/1014592_small.jpg
49800,Vezel 1.5A X,Honda,9110,12-Sep-2019,SUV,19896,https://i.i-sgcm.com/cars_used/202105/996273_small.jpg
80800,Touran Sport 1.4A TSI (New 5-yr COE),Volkswagen,8560,26-Aug-2011,MPV,132000,https://i.i-sgcm.com/cars_used/202105/993478_small.jpg
42800,Corolla Altis 1.6A (COE till 07/2025),Toyota,7130,13-Jul-2010,Sedan,105000,https://i.i-sgcm.com/cars_used/202108/1021354_small.jpg
28000,E-Class E250 CGI (COE till 01/2029),Mercedes-Benz,11590,01-Apr-2010,Luxury,132000,https://i.i-sgcm.com/cars_used/202108/1021352_small.jpg
86800,Colt Version-R 1.5A Turbo (COE till 10/2027),Mitsubishi,8500,06-Nov-2007,Sports,180000,https://i.i-sgcm.com/cars_used/202108/1021351_small.jpg
62800,Lancer EX 1.6A,Mitsubishi,8990,27-Apr-2017,Sedan,53500,https://i.i-sgcm.com/cars_used/202108/1021346_small.jpg
58000,Elantra 1.6A GLS,Hyundai,8480,17-Jul-2017,Sedan,75000,https://i.i-sgcm.com/cars_used/202108/1021319_small.jpg
55988,Forester 2.0i-L Sunroof,Subaru,10690,17-Jan-2017,SUV,64000,https://i.i-sgcm.com/cars_used/202107/1018705_small.jpg
65988,A4 2.0A TFSI S-tronic,Audi,13350,30-Apr-2019,Luxury,60000,https://i.i-sgcm.com/cars_used/202107/1017431_small.jpg
122800,Jetta GP 1.4A TSI,Volkswagen,9250,10-Dec-2015,Sedan,71000,https://i.i-sgcm.com/cars_used/202107/1016843_small.jpg
49988,Shuttle 1.5A G LED Sensing (OPC),Honda,6950,15-Jul-2021,Stationwagon,71,https://i.i-sgcm.com/cars_used/202107/1016808_small.jpg
72800,Qashqai 1.2A DIG-T,Nissan,10040,26-Sep-2017,SUV,71000,https://i.i-sgcm.com/cars_used/202107/1016550_small.jpg
68988,Sienta 1.5A G,Toyota,9080,25-Sep-2019,MPV,19000,https://i.i-sgcm.com/cars_used/202107/1013195_small.jpg
81800,Sharan 2.0A TSI Sunroof,Volkswagen,12970,31-Mar-2015,MPV,80000,https://i.i-sgcm.com/cars_used/202106/1009803_small.jpg
71988,Forester 2.0i-L Sunroof,Subaru,10650,06-Oct-2017,SUV,49000,https://i.i-sgcm.com/cars_used/202106/1003095_small.jpg
72500,C-HR Hybrid 1.8A S,Toyota,10570,25-May-2018,SUV,51000,https://i.i-sgcm.com/cars_used/202105/995158_small.jpg
76988,ES250 Luxury Sunroof,Lexus,16650,16-May-2019,Luxury,24873,https://i.i-sgcm.com/cars_used/202105/994239_small.jpg
158800,911 Carrera Coupe 3.6A PDK (COE till 03/2030),Porsche,26690,15-Mar-2010,Sports,96534,https://i.i-sgcm.com/cars_used/202104/988347_small.jpg
229600,Prius Hybrid 1.8A S,Toyota,10820,01-Jul-2019,Hatchback,22000,https://i.i-sgcm.com/cars_used/202104/988330_small.jpg
95988,Golf R 5DR Sunroof (New 10-yr COE),Volkswagen,10970,08-Feb-2012,Sports,108000,https://i.i-sgcm.com/cars_used/202104/988076_small.jpg
109800,Astra 1.4A Turbo IntelliLux LED,Opel,9740,02-Nov-2017,Hatchback,51000,https://i.i-sgcm.com/cars_used/202108/1021343_small.jpg
68800,Martin V8 Vantage S Coupe 4.7A Sportshift II (New 10-yr COE),Aston,24960,15-Mar-2012,Sports,36000,https://i.i-sgcm.com/cars_used/202108/1021342_small.jpg
249777,GLA-Class GLA200 Urban Edition,Mercedes-Benz,15220,02-Jan-2015,SUV,75000,https://i.i-sgcm.com/cars_used/202108/1021341_small.jpg
62800,7 Series 740i Sunroof,BMW,23460,17-Dec-2012,Luxury,162000,https://i.i-sgcm.com/cars_used/202108/1021339_small.jpg
70500,A1 Sportback 1.0A TFSI S-tronic,Audi,10240,11-May-2016,Hatchback,75000,https://i.i-sgcm.com/cars_used/202108/1021335_small.jpg
51988,Forester 2.0XT Sunroof,Subaru,11520,28-Mar-2017,SUV,109000,https://i.i-sgcm.com/cars_used/202107/1018897_small.jpg
73988,NV200 1.6A DX,Nissan,6230,05-Aug-2019,Van,22323,https://i.i-sgcm.com/cars_used/202107/1018882_small.jpg
49800,Huracan LP640-4 Performante,Lamborghini,89270,09-Nov-2018,Sports,13890,https://i.i-sgcm.com/cars_used/202107/1018292_small.jpg
868800,Gallardo LP550-2 (COE till 03/2030),Lamborghini,31080,28-Dec-2010,Sports,43000,https://i.i-sgcm.com/cars_used/202107/1018179_small.jpg
268800,Polo GP 1.2A TSI Sunroof,Volkswagen,8330,29-Sep-2017,Hatchback,75000,https://i.i-sgcm.com/cars_used/202107/1017449_small.jpg
54988,2 Series 218d Active Tourer SE,BMW,11580,07-Jul-2017,Hatchback,60000,https://i.i-sgcm.com/cars_used/202107/1016283_small.jpg
83800,3 Mild Hybrid 1.5A Astina,Mazda,10300,16-Sep-2019,Sedan,12000,https://i.i-sgcm.com/cars_used/202107/1012608_small.jpg
92988,ES250 Executive Sunroof,Lexus,16010,22-Mar-2019,Luxury,41273,https://i.i-sgcm.com/cars_used/202107/1011349_small.jpg
146000,A3 Sportback 1.4A TFSI S-tronic Ambiente,Audi,12510,30-Apr-2015,Hatchback,61000,https://i.i-sgcm.com/cars_used/202107/1010956_small.jpg
53988,Prius Hybrid 1.8A,Toyota,10840,21-Jul-2017,Hatchback,50000,https://i.i-sgcm.com/cars_used/202107/1010747_small.jpg
71988,CLA-Class CLA180,Mercedes-Benz,13870,06-Sep-2018,Luxury,18000,https://i.i-sgcm.com/cars_used/202106/1009641_small.jpg
113988,1 Series 116d,BMW,10930,27-Jul-2018,Hatchback,68000,https://i.i-sgcm.com/cars_used/202106/1009282_small.jpg
293800,LS460,Lexus,30050,30-Jun-2017,Luxury,59000,https://i.i-sgcm.com/cars_used/202106/1001345_small.jpg
260800,1 Series 116i,BMW,14040,25-Sep-2013,Hatchback,102000,https://i.i-sgcm.com/cars_used/202105/996046_small.jpg
41800,6 Series 650i Coupe (New 10-yr COE),BMW,13870,28-Oct-2011,Sports,100458,https://i.i-sgcm.com/cars_used/202104/984647_small.jpg
138800,G-Class G400d AMG Line 4MATIC Premium,Mercedes-Benz,41820,06-Aug-2021,SUV,652,https://i.i-sgcm.com/cars_used/202102/966303_small.jpg
504988,Shuttle 1.5A G Sensing,Honda,8750,05-Aug-2021,Stationwagon,652,https://i.i-sgcm.com/cars_used/202108/1021338_small.jpg
89988,M Series M3 Coupe Competition Package (COE till 08/2029),BMW,18710,05-Feb-2010,Sports,92500,https://i.i-sgcm.com/cars_used/202108/1021337_small.jpg
151000,5 Series 540i M-Sport,BMW,26940,23-Oct-2017,Luxury,59000,https://i.i-sgcm.com/cars_used/202108/1021336_small.jpg
214000,NV350 2.5M,Nissan,9560,13-Aug-2014,Van,45043,https://i.i-sgcm.com/cars_used/202108/1021334_small.jpg
28800,Elantra 1.6A Elite (New 5-yr COE),Hyundai,8390,14-Feb-2012,Sedan,150000,https://i.i-sgcm.com/cars_used/202108/1020020_small.jpg
41988,Niro Hybrid 1.6A GDi DCT Sunroof,Kia,11710,06-Mar-2017,SUV,121788,https://i.i-sgcm.com/cars_used/202108/1019975_small.jpg
67800,Polo GP 1.2A TSI Sunroof,Volkswagen,9350,31-Aug-2016,Hatchback,61000,https://i.i-sgcm.com/cars_used/202108/1019919_small.jpg
50988,Alphard 2.5A Elegance Sunroof,Toyota,19670,30-Nov-2017,MPV,30000,https://i.i-sgcm.com/cars_used/202108/1019859_small.jpg
151988,2 Series 218i Coupe Sunroof,BMW,14960,27-Aug-2015,Sports,99000,https://i.i-sgcm.com/cars_used/202107/1018814_small.jpg
72988,Polo 1.2A TSI Sunroof,Volkswagen,8480,15-Dec-2017,Hatchback,47000,https://i.i-sgcm.com/cars_used/202107/1016602_small.jpg
57000,3 1.5A Sunroof,Mazda,9180,10-Mar-2017,Sedan,60771,https://i.i-sgcm.com/cars_used/202107/1014753_small.jpg
56800,Elgrand 2.5A Highway Star,Nissan,13720,29-Oct-2014,MPV,81000,https://i.i-sgcm.com/cars_used/202107/1013664_small.jpg
64988,Cayman 2.7A Tip (COE till 10/2028),Porsche,16370,18-Oct-2008,Sports,98614,https://i.i-sgcm.com/cars_used/202106/1006731_small.jpg
117800,C-Class C180 Avantgarde,Mercedes-Benz,14970,30-Apr-2018,Luxury,55000,https://i.i-sgcm.com/cars_used/202106/1004644_small.jpg
122800,C-Class C200 Mild Hybrid AMG Line Premium Night Edition,Mercedes-Benz,16520,06-Aug-2021,Luxury,652,https://i.i-sgcm.com/cars_used/202105/1000080_small.jpg
198988,1 Series 116d,BMW,11650,21-Apr-2016,Hatchback,70000,https://i.i-sgcm.com/cars_used/202108/1021333_small.jpg
101800,S-Class S400L,Mercedes-Benz,25800,10-Feb-2015,Luxury,91000,https://i.i-sgcm.com/cars_used/202108/1019549_small.jpg
17800,3 Series 316i,BMW,16290,21-Jun-2013,Luxury,100000,https://i.i-sgcm.com/cars_used/202106/1009629_small.jpg
19800,Polo GP 1.2A TSI Sunroof,Volkswagen,8630,29-Sep-2017,Hatchback,63300,https://i.i-sgcm.com/cars_used/202108/1021281_small.jpg
27800,A-Class Saloon A200 SE,Mercedes-Benz,13420,30-Jul-2021,Luxury,652,https://i.i-sgcm.com/cars_used/202105/991709_small.jpg
151988,Passat 1.8A TSI (COE till 09/2028),Volkswagen,7440,12-Sep-2008,Luxury,140388,https://i.i-sgcm.com/cars_used/202108/1021331_small.jpg
52800,i30 1.4A T-GDi DCT Turbo,Hyundai,9480,14-Jan-2020,Hatchback,16000,https://i.i-sgcm.com/cars_used/202107/1014713_small.jpg
88800,1 Series 118i 5DR Luxury,BMW,12190,26-Nov-2020,Hatchback,7758,https://i.i-sgcm.com/cars_used/202104/989578_small.jpg
132800,Vios 1.5A G,Toyota,9120,14-Sep-2016,Sedan,75000,https://i.i-sgcm.com/cars_used/202108/1021330_small.jpg
54800,Cayenne 3.0A Tip,Porsche,36470,03-Aug-2021,SUV,652,https://i.i-sgcm.com/cars_used/202108/1021329_small.jpg
22800,Jazz 1.3A,Honda,8790,16-Mar-2020,Hatchback,7498,https://i.i-sgcm.com/cars_used/202108/1021327_small.jpg
78800,Note 1.2A DIG-S,Nissan,9220,21-Jan-2017,Hatchback,59320,https://i.i-sgcm.com/cars_used/202108/1019336_small.jpg
52800,Sienta 1.5A Standard,Toyota,9700,26-Mar-2019,MPV,39963,https://i.i-sgcm.com/cars_used/202107/1010356_small.jpg
82800,Cayenne Turbo S 4.8A Tip (COE till 09/2028),Porsche,19310,30-Sep-2008,SUV,54500,https://i.i-sgcm.com/cars_used/202105/992856_small.jpg
138000,GR Yaris 1.6M Circuit Pack,Toyota,20950,25-May-2021,Sports,3200,https://i.i-sgcm.com/cars_used/202108/1021324_small.jpg
228888,A-Class A45 AMG 4MATIC+,Mercedes-Benz,25430,06-Aug-2021,Sports,652,https://i.i-sgcm.com/cars_used/202108/1021322_small.jpg
298988,5 Series 523i (New 10-yr COE),BMW,9970,18-Oct-2011,Luxury,91000,https://i.i-sgcm.com/cars_used/202108/1021318_small.jpg
99800,Stream 1.8A (COE till 10/2023),Honda,8520,23-Oct-2008,MPV,105693,https://i.i-sgcm.com/cars_used/202108/1021314_small.jpg
18800,Golf 1.4A TSI Sport (COE till 08/2024),Volkswagen,8880,14-Aug-2009,Hatchback,155000,https://i.i-sgcm.com/cars_used/202108/1019360_small.jpg
26800,NV350 2.5M,Nissan,8700,11-May-2018,Van,80000,https://i.i-sgcm.com/cars_used/202106/1009697_small.jpg
58800,5 Series 530i SE,BMW,18490,17-Oct-2017,Luxury,81000,https://i.i-sgcm.com/cars_used/202104/985698_small.jpg
147000,CLA-Class CLA180,Mercedes-Benz,14350,24-Oct-2016,Luxury,112000,https://i.i-sgcm.com/cars_used/202108/1021326_small.jpg
87800,Vezel Hybrid 1.5A X,Honda,10640,12-Dec-2017,SUV,56000,https://i.i-sgcm.com/cars_used/202108/1021325_small.jpg
69988,Panamera 4 3.6A PDK (COE till 04/2029),Porsche,18750,25-Aug-2010,Sports,140000,https://i.i-sgcm.com/cars_used/202105/996307_small.jpg
26500,S40 2.4I (COE till 08/2024),Volvo,8710,24-Aug-2004,Luxury,77900,https://i.i-sgcm.com/cars_used/202108/1020861_small.jpg
63800,Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic,Citroen,10850,16-Nov-2016,MPV,76000,https://i.i-sgcm.com/cars_used/202108/1021321_small.jpg
73888,1 Series 116d,BMW,11860,27-Apr-2017,Hatchback,52800,https://i.i-sgcm.com/cars_used/202108/1021312_small.jpg
138800,7 Series 740i Sunroof,BMW,78230,15-Nov-2012,Luxury,109000,https://i.i-sgcm.com/cars_used/202108/1021277_small.jpg
51800,Vezel 1.5A X,Honda,9640,14-Jun-2016,SUV,78399,https://i.i-sgcm.com/cars_used/202108/1021315_small.jpg
75200,Jazz 1.3A LX,Honda,7980,07-Aug-2020,Hatchback,18000,https://i.i-sgcm.com/cars_used/202107/1018079_small.jpg
58800,Cerato K3 1.6A Sunroof,Kia,8410,28-Aug-2017,Sedan,102500,https://i.i-sgcm.com/cars_used/202107/1014875_small.jpg
79800,Civic 1.6A VTi,Honda,9900,10-Aug-2018,Sedan,38200,https://i.i-sgcm.com/cars_used/202107/1011874_small.jpg
168800,GranTurismo S 4.7A (COE till 04/2031),Maserati,17350,06-Jun-2011,Sports,64000,https://i.i-sgcm.com/cars_used/202108/1021311_small.jpg
22000,Exora 1.6A M-Line (COE till 08/2024),Proton,7310,11-Aug-2009,MPV,177000,https://i.i-sgcm.com/cars_used/202108/1021310_small.jpg
56800,A4 1.8A TFSI MU,Audi,12950,12-Feb-2015,Luxury,77000,https://i.i-sgcm.com/cars_used/202108/1021202_small.jpg
69800,C-Class C180 Avantgarde,Mercedes-Benz,17290,30-Oct-2014,Luxury,70130,https://i.i-sgcm.com/cars_used/202108/1021309_small.jpg
101800,Alphard 2.5A X Moonroof,Toyota,16800,02-Aug-2016,MPV,65000,https://i.i-sgcm.com/cars_used/202108/1021308_small.jpg
78688,Corolla Altis 1.6A Standard,Toyota,9700,11-Sep-2018,Sedan,63000,https://i.i-sgcm.com/cars_used/202108/1021306_small.jpg
121888,5 Series 528i Highline,BMW,17430,18-Nov-2016,Luxury,82888,https://i.i-sgcm.com/cars_used/202108/1021305_small.jpg
