Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Images
65000,Swift 1.0A Turbo GLX,Suzuki,8100,22-Nov-2018,Hatchback,25000,https://i.i-sgcm.com/cars_used/202108/1021403_small.jpg
145000,Panamera 3.6A PDK Sunroof (COE till 01/2031),Porsche,15290,19-May-2011,Sports,103000,https://i.i-sgcm.com/cars_used/202107/1016997_small.jpg
74800,X-Trail 2.0A Premium 7-Seater Sunroof,Nissan,11700,21-Jul-2017,SUV,74000,https://i.i-sgcm.com/cars_used/202107/1015115_small.jpg
82800,A6 2.0A TFSI MU,Audi,15010,30-Jul-2013,Luxury,196000,https://i.i-sgcm.com/cars_used/202107/1013863_small.jpg
40800,NV350 2.5A,Nissan,9220,29-Jul-2016,Van,89000,https://i.i-sgcm.com/cars_used/202107/1013647_small.jpg
45800,NV350 2.5M,Nissan,8170,30-May-2019,Van,53000,https://i.i-sgcm.com/cars_used/202107/1012411_small.jpg
63800,508 Diesel 1.6A BlueHDi Allure,Peugeot,9430,22-Feb-2017,Sedan,55200,https://i.i-sgcm.com/cars_used/202105/993490_small.jpg
59800,Jetta GP 1.4A TSI Highline,Volkswagen,9780,31-Mar-2017,Sedan,44000,https://i.i-sgcm.com/cars_used/202104/988748_small.jpg
65800,Sharan 2.0A TSI Sunroof,Volkswagen,13130,19-Nov-2014,MPV,51525,https://i.i-sgcm.com/cars_used/202108/1021402_small.jpg
67800,Scirocco GP 1.4A TSI,Volkswagen,10670,25-Aug-2017,Sports,89000,https://i.i-sgcm.com/cars_used/202107/1015386_small.jpg
74000,A3 Sportback 1.0A TFSI S-tronic,Audi,11640,18-Jun-2018,Hatchback,47339,https://i.i-sgcm.com/cars_used/202107/1013764_small.jpg
92800,2 Series 216d Active Tourer,BMW,11900,16-Dec-2016,Hatchback,70934,https://i.i-sgcm.com/cars_used/202106/1006358_small.jpg
73800,Panamera S 4.8A PDK (COE till 03/2029),Porsche,16840,04-Jan-2010,Sports,90000,https://i.i-sgcm.com/cars_used/202106/1005840_small.jpg
128800,NHR85A,Isuzu,9470,22-Oct-2015,Truck,84200,https://i.i-sgcm.com/cars_used/202105/996549_small.jpg
86800,Attrage 1.2A Sports,Mitsubishi,7380,03-Dec-2018,Sedan,51828,https://i.i-sgcm.com/cars_used/202108/1021399_small.jpg
56500,E-Class E200K (COE till 07/2026),Mercedes-Benz,8000,01-Feb-2007,Luxury,141500,https://i.i-sgcm.com/cars_used/202108/1019937_small.jpg
93888,Fiesta 1.0A Ecoboost Titanium,Ford,9230,23-Sep-2016,Hatchback,63499,https://i.i-sgcm.com/cars_used/202107/1016405_small.jpg
93888,Swift 1.0A Turbo GLX (OPC),Suzuki,6510,24-Aug-2020,Hatchback,10150,https://i.i-sgcm.com/cars_used/202010/935372_small.jpg
66800,ASX 2.0A,Mitsubishi,9790,04-Aug-2017,SUV,20677,https://i.i-sgcm.com/cars_used/202108/1021398_small.jpg
19800,Prius Hybrid 1.8A S,Toyota,11150,29-Nov-2017,Hatchback,45000,https://i.i-sgcm.com/cars_used/202012/952811_small.jpg
72800,6 2.0A Executive,Mazda,10470,06-Mar-2017,Luxury,57791,https://i.i-sgcm.com/cars_used/202108/1021396_small.jpg
49800,Vezel Hybrid 1.5A X,Honda,11420,08-Mar-2016,SUV,73218,https://i.i-sgcm.com/cars_used/202108/1020148_small.jpg
209800,Rover Discovery Sport 2.0A SE 7-Seater Sunroof,Land,16080,25-Mar-2019,SUV,51000,https://i.i-sgcm.com/cars_used/202107/1016684_small.jpg
152800,Freed Hybrid 1.5A G 7-Seater,Honda,10340,24-May-2019,MPV,37000,https://i.i-sgcm.com/cars_used/202107/1014677_small.jpg
52800,Harrier 2.0A Premium Style Mauve,Toyota,13420,20-Jul-2017,SUV,50930,https://i.i-sgcm.com/cars_used/202106/1009541_small.jpg
