Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Engine Capacity,Images
59000,A1 1.4A TFSI S-tronic S-Line,Audi,11870,12-Jun-2015,Hatchback,43500,1390,https://i.i-sgcm.com/cars_used/202105/998155_small.jpg
27800,A4 1.8A TFSI MU (COE till 02/2024),Audi,11010,26-Feb-2009,Luxury,166000,1798,https://i.i-sgcm.com/cars_used/202108/1023703_small.jpg
94800,A3 Sedan 1.0A TFSI S-tronic,Audi,10870,18-Mar-2019,Luxury,35000,999,https://i.i-sgcm.com/cars_used/202108/1023659_small.jpg
99800,Q5 2.0A TFSI Quattro,Audi,14740,28-Nov-2016,SUV,92999,1984,https://i.i-sgcm.com/cars_used/202108/1023676_small.jpg
74800,TT Coupe 2.0A TFSI S-tronic (COE till 08/2028),Audi,10700,13-Aug-2008,Sports,147000,1984,https://i.i-sgcm.com/cars_used/202108/1023590_small.jpg
89800,A4 Avant 1.4A TFSI S-tronic,Audi,14120,26-Sep-2016,Stationwagon,71353,1395,https://i.i-sgcm.com/cars_used/202108/1019444_small.jpg
213800,S4 Sedan 3.0A TFSI Quattro Tip,Audi,23970,24-Oct-2018,Sports,20300,2995,https://i.i-sgcm.com/cars_used/202108/1023543_small.jpg
80000,A4 1.4A TFSI S-tronic Design,Audi,13670,31-Mar-2016,Luxury,76000,1395,https://i.i-sgcm.com/cars_used/202107/1015190_small.jpg
61888,A3 Sedan 1.4A TFSI S-tronic Ambiente,Audi,11790,22-Oct-2015,Luxury,78745,1395,https://i.i-sgcm.com/cars_used/202105/991329_small.jpg
158300,Q7 2.0A TFSI Quattro Tip 7-Seater,Audi,21640,18-Feb-2017,SUV,83000,1984,https://i.i-sgcm.com/cars_used/202012/954959_small.jpg
61800,A5 Coupe 2.0A TFSI Quattro S-Line Black Edition,Audi,18640,09-Apr-2013,Sports,109000,1984,https://i.i-sgcm.com/cars_used/202108/1023478_small.jpg
49800,A3 Sedan 1.4A TFSI S-tronic Ambiente,Audi,12230,30-Jan-2015,Luxury,80000,1395,https://i.i-sgcm.com/cars_used/202106/1009138_small.jpg
68500,A4 1.8A TFSI MU Attraction,Audi,13030,19-Oct-2015,Luxury,115643,1798,https://i.i-sgcm.com/cars_used/202108/1023524_small.jpg
88800,A3 Sportback 1.0A TFSI S-tronic,Audi,11540,14-Mar-2018,Hatchback,42000,999,https://i.i-sgcm.com/cars_used/202108/1022332_small.jpg
183800,Q7 2.0A TFSI Quattro Tip 7-Seater,Audi,21850,24-Jan-2018,SUV,61800,1984,https://i.i-sgcm.com/cars_used/202108/1022324_small.jpg
72800,A4 1.8A TFSI MU (COE till 08/2030),Audi,8050,27-Oct-2010,Luxury,150000,1798,https://i.i-sgcm.com/cars_used/202107/1012527_small.jpg
178800,Q5 2.0A TFSI Quattro S-tronic Sport S-Line,Audi,18940,30-Aug-2019,SUV,13300,1984,https://i.i-sgcm.com/cars_used/202106/1008275_small.jpg
92800,A3 Sportback 1.0A TFSI S-tronic,Audi,11680,18-Jun-2018,Hatchback,47339,999,https://i.i-sgcm.com/cars_used/202106/1006358_small.jpg
97800,S5 Sportback 3.0A TFSI Quattro (COE till 02/2030),Audi,11450,22-Sep-2010,Sports,140000,2995,https://i.i-sgcm.com/cars_used/202108/1020965_small.jpg
56800,A1 Sportback 1.0A TFSI S-tronic,Audi,9970,29-Dec-2016,Hatchback,73766,999,https://i.i-sgcm.com/cars_used/202107/1017137_small.jpg
143800,A5 Sportback 2.0A TFSI S-tronic Design,Audi,16060,28-Feb-2019,Luxury,37791,1984,https://i.i-sgcm.com/cars_used/202105/998089_small.jpg
30800,A1 Sportback 1.4A TFSI S-tronic,Audi,11940,28-May-2013,Hatchback,100000,1390,https://i.i-sgcm.com/cars_used/202104/987963_small.jpg
73688,A6 2.0A TFSI MU,Audi,14380,30-Apr-2015,Luxury,89000,1984,https://i.i-sgcm.com/cars_used/202107/1010126_small.jpg
162999,Q5 2.0A TFSI Quattro S-tronic Sport,Audi,19280,27-Aug-2018,SUV,41000,1984,https://i.i-sgcm.com/cars_used/202108/1023508_small.jpg
141999,Q5 2.0A TFSI Quattro S-tronic Sport Panoramic Roof,Audi,19340,30-Jun-2017,SUV,26710,1984,https://i.i-sgcm.com/cars_used/202108/1023463_small.jpg
119800,A8L 3.0A TFSI Quattro,Audi,21110,16-Oct-2014,Luxury,103000,2995,https://i.i-sgcm.com/cars_used/202107/1017730_small.jpg
32800,A3 Sportback 1.4A TFSI Panoramic Roof,Audi,17780,23-Aug-2012,Hatchback,21000,1390,https://i.i-sgcm.com/cars_used/202108/1023288_small.jpg
267999,S5 Cabriolet 3.0A TFSI Quattro Tip,Audi,30060,29-Oct-2018,Sports,13000,2995,https://i.i-sgcm.com/cars_used/202108/1021544_small.jpg
40800,A3 Sedan 1.4A TFSI S-tronic Ambiente,Audi,11980,27-May-2014,Luxury,64308,1395,https://i.i-sgcm.com/cars_used/202108/1023324_small.jpg
135800,A5 Sportback 2.0A TFSI S-tronic Design,Audi,16780,16-May-2018,Luxury,56000,1984,https://i.i-sgcm.com/cars_used/202106/1009001_small.jpg
92999,Q5 2.0A TFSI Quattro,Audi,15180,29-Jan-2016,SUV,85000,1984,https://i.i-sgcm.com/cars_used/202106/1002855_small.jpg
141800,A5 Sportback 2.0A TFSI S-tronic Design,Audi,15970,30-Jan-2019,Luxury,36000,1984,https://i.i-sgcm.com/cars_used/202107/1012827_small.jpg
62000,A3 Sportback 1.4A TFSI S-tronic Ambiente,Audi,11500,29-Feb-2016,Hatchback,75000,1395,https://i.i-sgcm.com/cars_used/202106/1006322_small.jpg
73800,A3 Sportback 1.4A TFSI (New 10-yr COE),Audi,7380,28-Oct-2011,Hatchback,128000,1390,https://i.i-sgcm.com/cars_used/202105/994468_small.jpg
368800,RS 4 Avant 2.9A TFSI Quattro Tip,Audi,33150,09-Feb-2021,Stationwagon,1700,2019,https://i.i-sgcm.com/cars_used/202105/993761_small.jpg
79800,Q5 2.0A TFSI Quattro (COE till 08/2030),Audi,8820,27-Oct-2010,SUV,97000,1984,https://i.i-sgcm.com/cars_used/202108/1023247_small.jpg
148800,Q7 2.0A TFSI Quattro Tip,Audi,23020,23-May-2016,SUV,39000,1984,https://i.i-sgcm.com/cars_used/202106/1001451_small.jpg
87800,Q3 1.4A TFSI S-Tronic,Audi,14470,16-Aug-2016,SUV,32000,1395,https://i.i-sgcm.com/cars_used/202107/1011641_small.jpg
158000,Q3 Sportback 1.4A TFSI S-tronic,Audi,15770,20-Jul-2020,SUV,16000,1395,https://i.i-sgcm.com/cars_used/202106/1004297_small.jpg
87000,A5 Sportback 2.0A TFSI Quattro (COE till 08/2030),Audi,9620,27-Oct-2010,Luxury,113000,1984,https://i.i-sgcm.com/cars_used/202105/997148_small.jpg
77800,A4 1.8A TFSI MU (COE till 04/2031),Audi,8030,25-Apr-2011,Luxury,103582,1798,https://i.i-sgcm.com/cars_used/202104/983098_small.jpg
102800,TT Coupe 2.0A TFSI S-tronic (New 10-yr COE),Audi,10270,30-Jun-2011,Sports,120000,1984,https://i.i-sgcm.com/cars_used/202106/1004037_small.jpg
108800,TT Coupe 2.0A TFSI (New 10-yr COE),Audi,10870,13-Jan-2012,Sports,156000,1984,https://i.i-sgcm.com/cars_used/202108/1023216_small.jpg
183999,Q7 2.0A TFSI Quattro Tip,Audi,23090,23-Oct-2017,SUV,21500,1984,https://i.i-sgcm.com/cars_used/202108/1023183_small.jpg
175800,A5 Sportback Mild Hybrid 2.0A TFSI S-tronic,Audi,15710,11-Jun-2021,Luxury,1800,1984,https://i.i-sgcm.com/cars_used/202108/1023147_small.jpg
104800,A4 2.0A TFSI S-tronic,Audi,12710,10-May-2018,Luxury,75000,1984,https://i.i-sgcm.com/cars_used/202105/994280_small.jpg
86800,A4 1.4A TFSI S-tronic,Audi,13460,26-Jan-2017,Luxury,88000,1395,https://i.i-sgcm.com/cars_used/202107/1012621_small.jpg
83800,A4 1.4A TFSI S-tronic,Audi,14080,16-Aug-2016,Luxury,90338,1395,https://i.i-sgcm.com/cars_used/202108/1021683_small.jpg
131800,A4 2.0A TFSI S-tronic,Audi,13810,30-Sep-2019,Luxury,22000,1984,https://i.i-sgcm.com/cars_used/202105/1000659_small.jpg
48800,A6 2.0A TFSI MU,Audi,14810,23-Jul-2013,Luxury,104000,1984,https://i.i-sgcm.com/cars_used/202108/1023155_small.jpg
261800,R8 Spyder 5.2A FSI Quattro R-tronic (COE till 04/2031),Audi,27050,21-Apr-2011,Sports,47879,5204,https://i.i-sgcm.com/cars_used/202104/987628_small.jpg
69800,A3 Sportback 1.0A TFSI S-tronic,Audi,11580,28-Dec-2016,Hatchback,51000,999,https://i.i-sgcm.com/cars_used/202107/1018612_small.jpg
58800,A3 Sportback 1.4A TFSI S-tronic Ambiente,Audi,12330,08-Aug-2015,Hatchback,62000,1395,https://i.i-sgcm.com/cars_used/202107/1014560_small.jpg
116800,A4 2.0A TFSI S-tronic,Audi,13360,30-Nov-2018,Luxury,48420,1984,https://i.i-sgcm.com/cars_used/202108/1023130_small.jpg
53800,A4 1.8A TFSI MU,Audi,12690,23-Dec-2014,Luxury,90000,1798,https://i.i-sgcm.com/cars_used/202107/1015174_small.jpg
77800,A6 2.0A TFSI,Audi,14950,28-May-2015,Luxury,100000,1984,https://i.i-sgcm.com/cars_used/202105/992638_small.jpg
100900,A6 1.8A TFSI Ultra S-tronic,Audi,14860,14-Dec-2016,Luxury,46000,1798,https://i.i-sgcm.com/cars_used/202108/1019249_small.jpg
82888,A7 Sportback 2.8A FSI Quattro S-tronic,Audi,18170,31-Mar-2014,Luxury,111000,2773,https://i.i-sgcm.com/cars_used/202106/1003948_small.jpg
178800,R8 4.2A FSI Quattro R-tronic (COE till 11/2028),Audi,24520,21-Jan-2009,Sports,84241,4163,https://i.i-sgcm.com/cars_used/202105/997153_small.jpg
81000,A4 1.4A TFSI S-tronic,Audi,13000,26-Oct-2016,Luxury,100000,1395,https://i.i-sgcm.com/cars_used/202107/1016975_small.jpg
95800,A6 1.8A TFSI Ultra S-tronic,Audi,14830,30-Aug-2016,Luxury,87662,1798,https://i.i-sgcm.com/cars_used/202104/990915_small.jpg
93800,A5 Sportback 2.0A TFSI Quattro (New 10-yr COE),Audi,9370,29-Dec-2011,Luxury,99000,1984,https://i.i-sgcm.com/cars_used/202107/1017371_small.jpg
75800,A3 Sportback 1.4A TFSI (New 10-yr COE),Audi,7580,15-Sep-2011,Hatchback,64000,1390,https://i.i-sgcm.com/cars_used/202106/1004023_small.jpg
127800,A3 Sedan 1.4A TFSI CoD S-tronic,Audi,12410,27-Nov-2020,Luxury,9100,1395,https://i.i-sgcm.com/cars_used/202108/1022990_small.jpg
129888,S4 Avant 3.0A TFSI Quattro (COE till 04/2031),Audi,13380,23-Jul-2011,Stationwagon,96786,2995,https://i.i-sgcm.com/cars_used/202107/1018318_small.jpg
84600,Q5 2.0A TFSI Quattro,Audi,24420,24-Dec-2013,SUV,12900,1984,https://i.i-sgcm.com/cars_used/202108/1023053_small.jpg
47800,A5 Sportback 2.0A TFSI Quattro (COE till 03/2025),Audi,13210,31-Mar-2010,Luxury,130000,1984,https://i.i-sgcm.com/cars_used/202108/1022982_small.jpg
93800,A3 Sportback 1.0A TFSI S-tronic,Audi,10940,08-Mar-2019,Hatchback,53339,999,https://i.i-sgcm.com/cars_used/202108/1022976_small.jpg
249999,A5 Cabriolet Mild Hybrid 2.0A TFSI S-tronic Advanced,Audi,23140,27-Nov-2020,Sports,5909,1984,https://i.i-sgcm.com/cars_used/202108/1022952_small.jpg
93999,A3 Sedan 1.0A TFSI S-tronic,Audi,11470,28-Aug-2018,Luxury,41500,999,https://i.i-sgcm.com/cars_used/202107/1017718_small.jpg
160999,A5 Sportback 2.0A TFSI S-tronic Design,Audi,16260,11-Feb-2020,Luxury,8000,1984,https://i.i-sgcm.com/cars_used/202107/1018405_small.jpg
134000,A5 Coupe 2.0A TFSI S-tronic Design,Audi,17740,09-Dec-2017,Sports,29314,1984,https://i.i-sgcm.com/cars_used/202107/1016702_small.jpg
65777,A6 2.0A TFSI MU,Audi,13790,27-Nov-2014,Luxury,109000,1984,https://i.i-sgcm.com/cars_used/202108/1021720_small.jpg
109800,Q2 1.0A TFSI S-tronic,Audi,11990,25-Sep-2019,SUV,6500,999,https://i.i-sgcm.com/cars_used/202108/1021096_small.jpg
75800,TT Coupe 2.0A TFSI (COE till 04/2029),Audi,9840,09-Jul-2009,Sports,148655,1984,https://i.i-sgcm.com/cars_used/202108/1022891_small.jpg
64800,A3 Sedan 1.4A TFSI S-tronic Ambiente,Audi,13330,18-Sep-2015,Luxury,43000,1395,https://i.i-sgcm.com/cars_used/202106/1003907_small.jpg
